paper_id,filename,title,year,venue,subfield,keywords,importance,importance_reason,read_status,note_status,note_path,selected_on,last_reviewed_on,added_on,updated_on,file_size_mb
2020-denoising-diffusion-probabilistic-models,2020_Denoising diffusion probabilistic models.pdf,Denoising diffusion probabilistic models,2020,,Diffusion / Flow Models,diffusion-flow,5,foundational diffusion model,unread,,,,,2026-05-10,2026-05-29,9.79
2021-diffusion-models-beat-gans-on-image-synthesis,2021_Diffusion models beat gans on image synthesis_NIPS.pdf,Diffusion models beat gans on image synthesis,2021,NIPS,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,important diffusion scaling result; top venue: NIPS,unread,generated,notes/2026-05-29_2021-diffusion-models-beat-gans-on-image-synthesis.md,2026-05-29,,2026-05-10,2026-05-29,2.82
2021-soundstream-an-end-to-end-neural-audio-codec,2021_SoundStream An End-to-End Neural Audio Codec.pdf,SoundStream An End-to-End Neural Audio Codec,2021,,Audio / Speech Generation,audio-speech,5,neural audio codec foundation,unread,,,,,2026-05-10,2026-05-29,0.66
2021-taming-transformers-for-high-resolution-image-synthesis,2021_Taming Transformers for High-Resolution Image Synthesis_CVPR.pdf,Taming Transformers for High-Resolution Image Synthesis,2021,CVPR,Text-to-Image Generation,text-to-image,5,VQGAN and transformer foundation,unread,,,,,2026-05-10,2026-05-29,48.17
2022-cogview2-faster-and-better-text-to-image-generation-via-hierarchical-transformer,2022_CogView2 Faster and Better Text-to-Image Generation via Hierarchical Transformers.pdf,CogView2 Faster and Better Text-to-Image Generation via Hierarchical Transformers,2022,,Text-to-Image Generation,text-to-image,5,large text-to-image transformer line,unread,generated,notes/2026-05-27_2022-cogview2-faster-and-better-text-to-image-generation-via-hierarchical-transformer.md,2026-05-27,,2026-05-10,2026-05-29,18.26
2022-high-resolution-image-synthesis-with-latent-diffusion-models,2022_High-Resolution Image Synthesis with Latent Diffusion Models_CVPR.pdf,High-Resolution Image Synthesis with Latent Diffusion Models,2022,CVPR,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,latent diffusion foundation,unread,generated,notes/2026-05-28_2022-high-resolution-image-synthesis-with-latent-diffusion-models.md,2026-05-28,,2026-05-10,2026-05-29,38.95
2024-enhancing-motion-in-text-to-video-generation-with-decomposed-encoding-and-condit,2024_Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning_NeurIPS.pdf,Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning,2024,NEURIPS,Video Generation,text-to-video,5,top venue: NEURIPS; recent video-generation work,unread,generated,notes/2026-05-21_2024-enhancing-motion-in-text-to-video-generation-with-decomposed-encoding-and-condit.md,2026-05-21,,2026-05-10,2026-05-29,46.41
2024-fifo-diffusion-generating-infinite-videos-from-text-without-training,2024_FIFO-Diffusion Generating Infinite Videos from Text without Training_NeurIPS.pdf,FIFO-Diffusion Generating Infinite Videos from Text without Training,2024,NEURIPS,Long Video Generation,"diffusion-flow, long-video",5,top venue: NEURIPS; recent video-generation work,unread,generated,notes/2026-05-22_2024-fifo-diffusion-generating-infinite-videos-from-text-without-training.md,2026-05-22,,2026-05-10,2026-05-29,19.55
2024-freenoise-tuning-free-longer-video-diffusion-via-noise-rescheduling,2024_FreeNoise Tuning-Free Longer Video Diffusion via Noise Rescheduling_ICLR.pdf,FreeNoise Tuning-Free Longer Video Diffusion via Noise Rescheduling,2024,ICLR,Long Video Generation,"diffusion-flow, long-video",5,top venue: ICLR; recent video-generation work,unread,generated,notes/2026-05-23_2024-freenoise-tuning-free-longer-video-diffusion-via-noise-rescheduling.md,2026-05-23,,2026-05-10,2026-05-29,9.08
2024-hunyuanvideo-a-systematic-framework-for-large-video-generative-models,2024_HunyuanVideo A Systematic Framework For Large Video Generative Models.pdf,HunyuanVideo A Systematic Framework For Large Video Generative Models,2024,,Video Generation,text-to-video,5,major video generation system; recent video-generation work,unread,generated,notes/2026-05-23_2024-hunyuanvideo-a-systematic-framework-for-large-video-generative-models.md,2026-05-23,,2026-05-15,2026-05-29,47.85
2024-mevg-multi-event-video-generation-with-text-to-video-models,2024_MEVG_Multi-event Video Generation with Text-to-Video Models_ECCV.pdf,MEVG Multi-event Video Generation with Text-to-Video Models,2024,ECCV,Video Generation,text-to-video,5,top venue: ECCV; recent video-generation work,unread,generated,notes/2026-05-24_2024-mevg-multi-event-video-generation-with-text-to-video-models.md,2026-05-24,,2026-05-10,2026-05-29,22.87
2024-miradata-a-large-scale-video-dataset-with-long-durations-and-structured-captions,2024_MiraData_A Large-Scale Video Dataset with Long Durations and Structured Captions_NeurIPS.pdf,MiraData A Large-Scale Video Dataset with Long Durations and Structured Captions,2024,NEURIPS,Dataset / Data Curation,dataset,5,top venue: NEURIPS; useful as overview/evaluation/data reference,unread,generated,notes/2026-05-25_2024-miradata-a-large-scale-video-dataset-with-long-durations-and-structured-captions.md,2026-05-25,,2026-05-10,2026-05-29,6.80
2024-sana-efficient-high-resolution-image-synthesis-with-linear-diffusion-transformer,2024_SANA Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers.pdf,SANA Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers,2024,,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,efficient high-resolution T2I system,unread,generated,notes/2026-05-26_2024-sana-efficient-high-resolution-image-synthesis-with-linear-diffusion-transformer.md,2026-05-26,,2026-05-10,2026-05-29,7.99
2025-autoregressive-video-generation-without-vector-quantization,2025_Autoregressive Video Generation without Vector Quantization_ICLR.pdf,Autoregressive Video Generation without Vector Quantization,2025,ICLR,Video Generation,"autoregressive, text-to-video, visual-tokenizer-vq",5,top venue: ICLR; recent video-generation work,unread,generated,notes/2026-05-11_2025-autoregressive-video-generation-without-vector-quantization.md,2026-05-11,,2026-05-10,2026-05-29,8.19
2025-livephoto-real-image-animation-with-text-guided-motion-control,2025_LivePhoto Real Image Animation with Text-guided Motion Control_ECCV.pdf,LivePhoto Real Image Animation with Text-guided Motion Control,2025,ECCV,Video Generation,image-to-video,5,top venue: ECCV; recent video-generation work,unread,generated,notes/2026-05-13_2025-livephoto-real-image-animation-with-text-guided-motion-control.md,2026-05-13,,2026-05-10,2026-05-29,7.94
2025-open-sora-2-0-training-a-commercial-level-video-generation-model-in-200k,2025_Open-Sora 2.0 Training a Commercial-Level Video Generation Model in $200k.pdf,Open-Sora 2.0 Training a Commercial-Level Video Generation Model in $200k,2025,,Video Generation,text-to-video,5,open video generation system; recent video-generation work,unread,generated,notes/2026-05-14_2025-open-sora-2-0-training-a-commercial-level-video-generation-model-in-200k.md,2026-05-14,,2026-05-10,2026-05-29,21.67
2025-openvid-1m-a-large-scale-high-quality-dataset-for-text-to-video-generation,2025_OpenVid-1M_A Large-Scale High-Quality Dataset for Text-to-video Generation_ICLR.pdf,OpenVid-1M A Large-Scale High-Quality Dataset for Text-to-video Generation,2025,ICLR,Dataset / Data Curation,"dataset, text-to-video",5,top venue: ICLR; useful as overview/evaluation/data reference,unread,generated,notes/2026-05-15_2025-openvid-1m-a-large-scale-high-quality-dataset-for-text-to-video-generation.md,2026-05-15,,2026-05-10,2026-05-29,15.10
2025-pyramidal-flow-matching-for-efficient-video-generative-modeling,2025_Pyramidal Flow Matching for Efficient Video Generative Modeling_ICLR.pdf,Pyramidal Flow Matching for Efficient Video Generative Modeling,2025,ICLR,Video Generation,"diffusion-flow, text-to-video",5,top venue: ICLR; recent video-generation work,unread,generated,notes/2026-05-16_2025-pyramidal-flow-matching-for-efficient-video-generative-modeling.md,2026-05-16,,2026-05-10,2026-05-29,9.44
2025-taming-teacher-forcing-for-masked-autoregressive-video-generation,2025_Taming Teacher Forcing for Masked Autoregressive Video Generation_CVPR.pdf,Taming Teacher Forcing for Masked Autoregressive Video Generation,2025,CVPR,Video Generation,"autoregressive, text-to-video",5,top venue: CVPR; recent video-generation work,unread,generated,notes/2026-05-17_2025-taming-teacher-forcing-for-masked-autoregressive-video-generation.md,2026-05-17,,2026-05-10,2026-05-29,1.43
2025-tip-i2v-a-million-scale-real-text-and-image-prompt-dataset-for-image-to-video-ge,2025_TIP-I2V A Million-Scale Real Text and Image Prompt Dataset for Image-to-Video Generation_ICCV.pdf,TIP-I2V A Million-Scale Real Text and Image Prompt Dataset for Image-to-Video Generation,2025,ICCV,Dataset / Data Curation,"dataset, image-to-video, prompt-alignment, text-to-video",5,top venue: ICCV; useful as overview/evaluation/data reference,unread,generated,notes/2026-05-18_2025-tip-i2v-a-million-scale-real-text-and-image-prompt-dataset-for-image-to-video-ge.md,2026-05-18,,2026-05-10,2026-05-29,13.45
2025-videorepa-learning-physics-for-video-generation-through-relational-alignment-wit,2025_VideoREPA_Learning Physics for Video Generation through Relational Alignment with Foundation Models_NeurIPS.pdf,VideoREPA Learning Physics for Video Generation through Relational Alignment with Foundation Models,2025,NEURIPS,Video Generation,text-to-video,5,top venue: NEURIPS; recent video-generation work,unread,generated,notes/2026-05-19_2025-videorepa-learning-physics-for-video-generation-through-relational-alignment-wit.md,2026-05-19,,2026-05-10,2026-05-29,24.45
2025-vpo-aligning-text-to-video-generation-models-with-prompt-optimization,2025_VPO_Aligning Text-to-Video Generation Models with Prompt Optimization_ICCV.pdf,VPO Aligning Text-to-Video Generation Models with Prompt Optimization,2025,ICCV,Video Generation,"prompt-alignment, text-to-video",5,top venue: ICCV; recent video-generation work,unread,generated,notes/2026-05-20_2025-vpo-aligning-text-to-video-generation-models-with-prompt-optimization.md,2026-05-20,,2026-05-10,2026-05-29,18.18
2025-wan-open-and-advanced-large-scale-video-generative-models,2025_Wan Open and Advanced Large-Scale Video Generative Models_CVPR.pdf,Wan Open and Advanced Large-Scale Video Generative Models,2025,CVPR,Video Generation,text-to-video,5,major open video generation system; top venue: CVPR; recent video-generation work,unread,generated,notes/2026-05-10_2025-wan-open-and-advanced-large-scale-video-generative-models.md,2026-05-10,,2026-05-10,2026-05-29,20.89
2018-mocogan-decomposing-motion-and-content-for-video-generation,2018_MoCoGAN Decomposing Motion and Content for Video Generation_CVPR.pdf,MoCoGAN Decomposing Motion and Content for Video Generation,2018,CVPR,Video Generation,text-to-video,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,6.40
2021-denoising-diffusion-implicit-models,2021_Denoising diffusion implicit models_ICLR.pdf,Denoising diffusion implicit models,2021,ICLR,Diffusion / Flow Models,diffusion-flow,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,10.35
2021-score-based-generative-modeling-in-latent-space,2021_Score-based Generative Modeling in Latent Space_NeurIPS.pdf,Score-based Generative Modeling in Latent Space,2021,NEURIPS,Other Generative Modeling,,4,top venue: NEURIPS,unread,,,,,2026-05-10,2026-05-29,2.11
2021-zero-shot-text-to-image-generation,2021_Zero-shot text-to-image generation_PMLR.pdf,Zero-shot text-to-image generation,2021,PMLR,Text-to-Image Generation,text-to-image,4,top venue: PMLR,unread,,,,,2026-05-10,2026-05-29,9.66
2022-general-purpose-long-context-autoregressive-modeling-with-perceiver-ar,"2022_General-purpose, long-context autoregressive modeling with Perceiver AR_PMLR.pdf","General-purpose, long-context autoregressive modeling with Perceiver AR",2022,PMLR,Autoregressive Visual Generation,autoregressive,4,top venue: PMLR,unread,,,,,2026-05-10,2026-05-29,3.60
2022-masked-autoencoders-are-scalable-vision-learners,2022_Masked Autoencoders Are Scalable Vision Learners_CVPR.pdf,Masked Autoencoders Are Scalable Vision Learners,2022,CVPR,Vision Representation / Architecture,vision-representation,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,1.66
2022-tada-temporally-adaptive-convolutions-for-video-understanding,2022_TAda_Temporally-Adaptive Convolutions for Video Understanding_ICLR.pdf,TAda Temporally-Adaptive Convolutions for Video Understanding,2022,ICLR,Other Generative Modeling,,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,2.54
2023-efficientvit-multi-scale-linear-attention-for-high-resolution-dense-prediction,2023_EfficientViT Multi-Scale Linear Attention for High-Resolution Dense Prediction_ICCV.pdf,EfficientViT Multi-Scale Linear Attention for High-Resolution Dense Prediction,2023,ICCV,Vision Representation / Architecture,vision-representation,4,top venue: ICCV,unread,,,,,2026-05-10,2026-05-29,6.41
2023-patch-n-pack-navit-a-vision-transformer-for-any-aspect-ratio-and-resolution,"2023_Patch n' Pack NaViT, a Vision Transformer for any Aspect Ratio and Resolution_NeurIPS.pdf","Patch n' Pack NaViT, a Vision Transformer for any Aspect Ratio and Resolution",2023,NEURIPS,Vision Representation / Architecture,vision-representation,4,top venue: NEURIPS,unread,,,,,2026-05-10,2026-05-29,1.77
2023-temporally-consistent-transformers-for-video-generation,2023_Temporally Consistent Transformers for Video Generation_PMLR.pdf,Temporally Consistent Transformers for Video Generation,2023,PMLR,Video Generation,text-to-video,4,top venue: PMLR,unread,,,,,2026-05-10,2026-05-29,4.21
2024-a-survey-on-long-video-generation-challenges-methods-and-prospects,"2024_A Survey on Long Video Generation Challenges, Methods, and Prospects.pdf","A Survey on Long Video Generation Challenges, Methods, and Prospects",2024,,Survey / Roadmap,"long-video, survey, text-to-video",4,useful as overview/evaluation/data reference,unread,,,,,2026-05-10,2026-05-29,3.25
2024-allegro-open-the-black-box-of-commercial-level-video-generation-model,2024_Allegro_Open the Black Box of Commercial-Level Video Generation Model.pdf,Allegro Open the Black Box of Commercial-Level Video Generation Model,2024,,Video Generation,text-to-video,4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,37.67
2024-applying-guidance-in-a-limited-interval-improves-sample-and-distribution-quality,2024_Applying Guidance in a Limited Interval Improves Sample and Distribution Quality in Diffusion Models_NIPS.pdf,Applying Guidance in a Limited Interval Improves Sample and Distribution Quality in Diffusion Models,2024,NIPS,Diffusion / Flow Models,diffusion-flow,4,top venue: NIPS,unread,,,,,2026-05-10,2026-05-29,22.18
2024-autoregressive-image-generation-without-vector-quantization,2024_Autoregressive Image Generation without Vector Quantization_NeurIPS.pdf,Autoregressive Image Generation without Vector Quantization,2024,NEURIPS,Visual Tokenization / Vector Quantization,"autoregressive, text-to-image, visual-tokenizer-vq",4,top venue: NEURIPS,unread,,,,,2026-05-10,2026-05-29,5.68
2024-codebook-transfer-with-part-of-speech-for-vector-quantized-image-modeling,2024_Codebook Transfer with Part-of-Speech for Vector-Quantized Image Modeling_CVPR.pdf,Codebook Transfer with Part-of-Speech for Vector-Quantized Image Modeling,2024,CVPR,Visual Tokenization / Vector Quantization,"audio-speech, visual-tokenizer-vq",4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,2.20
2024-demo-decoupling-motion-forecasting-into-directional-intentions-and-dynamic-state,2024_DeMo_Decoupling Motion Forecasting into Directional Intentions and Dynamic States_NeurIPS.pdf,DeMo Decoupling Motion Forecasting into Directional Intentions and Dynamic States,2024,NEURIPS,Other Generative Modeling,,4,top venue: NEURIPS,unread,,,,,2026-05-15,2026-05-29,14.39
2024-enhancing-semantic-fidelity-in-text-to-image-synthesis-attention-regulation-in-d,2024_Enhancing Semantic Fidelity in Text-to-Image Synthesis Attention Regulation in Diffusion Models_ECCV.pdf,Enhancing Semantic Fidelity in Text-to-Image Synthesis Attention Regulation in Diffusion Models,2024,ECCV,Diffusion / Flow Models,"diffusion-flow, prompt-alignment, text-to-image",4,top venue: ECCV,unread,,,,,2026-05-10,2026-05-29,9.06
2024-exploring-the-role-of-large-language-models-in-prompt-encoding-for-diffusion-mod,2024_Exploring the Role of Large Language Models in Prompt Encoding for Diffusion Models_NeurIPS.pdf,Exploring the Role of Large Language Models in Prompt Encoding for Diffusion Models,2024,NEURIPS,Diffusion / Flow Models,"diffusion-flow, prompt-alignment",4,top venue: NEURIPS,unread,,,,,2026-05-10,2026-05-29,32.09
2024-from-sora-what-we-can-see-a-survey-of-text-to-video-generation,2024_From Sora What We Can See A Survey of Text-to-Video Generation.pdf,From Sora What We Can See A Survey of Text-to-Video Generation,2024,,Survey / Roadmap,"survey, text-to-video",4,useful as overview/evaluation/data reference,unread,,,,,2026-05-10,2026-05-29,12.25
2024-language-model-beats-diffusion-tokenizer-is-key-to-visual-generation,2024_Language model beats diffusion–tokenizer is key to visual generation_ICLR.pdf,Language model beats diffusion–tokenizer is key to visual generation,2024,ICLR,Visual Tokenization / Vector Quantization,"diffusion-flow, visual-tokenizer-vq",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,3.44
2024-lavie-high-quality-video-generation-with-cascaded-latent-diffusion-models,2024_LAVIE High-Quality Video Generation with Cascaded Latent Diffusion Models_IJCV.pdf,LAVIE High-Quality Video Generation with Cascaded Latent Diffusion Models,2024,IJCV,Video Generation,"diffusion-flow, text-to-video",4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,4.87
2024-llm-grounded-video-diffusion-models,2024_LLM-grounded Video Diffusion Models_ICLR.pdf,LLM-grounded Video Diffusion Models,2024,ICLR,Diffusion / Flow Models,diffusion-flow,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,13.16
2024-streaming-dense-video-captioning,2024_Streaming Dense Video Captioning_CVPR.pdf,Streaming Dense Video Captioning,2024,CVPR,Other Generative Modeling,,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,0.84
2024-talc-time-aligned-captions-for-multi-scene-text-to-video-generation,2024_TALC_Time-Aligned Captions for Multi-Scene Text-to-Video Generation.pdf,TALC Time-Aligned Captions for Multi-Scene Text-to-Video Generation,2024,,Dataset / Data Curation,"dataset, text-to-video",4,useful as overview/evaluation/data reference,unread,,,,,2026-05-15,2026-05-29,8.97
2024-videocrafter2-overcoming-data-limitations-for-high-quality-video-diffusion-model,2024_VideoCrafter2 Overcoming Data Limitations for High-Quality Video Diffusion Models_CVPR.pdf,VideoCrafter2 Overcoming Data Limitations for High-Quality Video Diffusion Models,2024,CVPR,Diffusion / Flow Models,diffusion-flow,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,32.81
2024-vidu-a-highly-consistent-dynamic-and-skilled-text-to-video-generator-with-diffus,"2024_Vidu a Highly Consistent, Dynamic and Skilled Text-to-Video Generator with Diffusion Models.pdf","Vidu a Highly Consistent, Dynamic and Skilled Text-to-Video Generator with Diffusion Models",2024,,Video Generation,"diffusion-flow, text-to-video",4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,44.96
2024-vq-tr-vector-quantized-attention-for-time-series-representation-learning,2024_VQ-TR Vector Quantized Attention for Time Series Representation Learning_ICLR.pdf,VQ-TR Vector Quantized Attention for Time Series Representation Learning,2024,ICLR,Visual Tokenization / Vector Quantization,"time-series, visual-tokenizer-vq",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,0.68
2025-a-survey-of-interactive-generative-video,2025_A Survey of Interactive Generative Video.pdf,A Survey of Interactive Generative Video,2025,,Survey / Roadmap,survey,4,useful as overview/evaluation/data reference,unread,,,,,2026-05-10,2026-05-29,6.65
2025-acdit-interpolating-autoregressive-conditional-modeling-and-diffusion-transforme,2025_ACDiT Interpolating Autoregressive Conditional Modeling and Diffusion Transformer_ICLR.pdf,ACDiT Interpolating Autoregressive Conditional Modeling and Diffusion Transformer,2025,ICLR,Autoregressive Visual Generation,"autoregressive, diffusion-flow",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,5.65
2025-aligning-anime-video-generation-with-human-feedback,2025_Aligning Anime Video Generation with Human Feedback.pdf,Aligning Anime Video Generation with Human Feedback,2025,,Video Generation,text-to-video,4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,6.01
2025-compass-enhancing-spatial-understanding-in-text-to-image-diffusion-models,2025_CoMPaSS Enhancing Spatial Understanding in Text-to-Image Diffusion Models_ICCV.pdf,CoMPaSS Enhancing Spatial Understanding in Text-to-Image Diffusion Models,2025,ICCV,Diffusion / Flow Models,"diffusion-flow, text-to-image",4,top venue: ICCV,unread,,,,,2026-05-10,2026-05-29,10.65
2025-deep-compression-autoencoder-for-efficient-high-resolution-diffusion-models,2025_Deep Compression Autoencoder for Efficient High-Resolution Diffusion Models_ICLR.pdf,Deep Compression Autoencoder for Efficient High-Resolution Diffusion Models,2025,ICLR,Diffusion / Flow Models,diffusion-flow,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,7.40
2025-diffuse-everything-multimodal-diffusion-models-on-arbitrary-state-spaces,2025_Diffuse Everything Multimodal Diffusion Models on Arbitrary State Spaces_ICML.pdf,Diffuse Everything Multimodal Diffusion Models on Arbitrary State Spaces,2025,ICML,Diffusion / Flow Models,diffusion-flow,4,top venue: ICML,unread,,,,,2026-05-10,2026-05-29,11.32
2025-fluid-scaling-autoregressive-text-to-image-generative-models-with-continuous-tok,2025_Fluid Scaling Autoregressive Text-to-image Generative Models with Continuous Tokens_ICLR.pdf,Fluid Scaling Autoregressive Text-to-image Generative Models with Continuous Tokens,2025,ICLR,Autoregressive Visual Generation,"autoregressive, text-to-image",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,2.71
2025-imagefolder-autoregressive-image-generation-with-folded-tokens,2025_ImageFolder Autoregressive Image Generation with Folded Tokens_ICLR.pdf,ImageFolder Autoregressive Image Generation with Folded Tokens,2025,ICLR,Autoregressive Visual Generation,"autoregressive, text-to-image",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,2.51
2025-lsnet-see-large-focus-small,"2025_LSNet See Large,Focus Small_CVPR.pdf","LSNet See Large,Focus Small",2025,CVPR,Other Generative Modeling,,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,4.55
2025-magi-1-autoregressive-video-generation-at-scale,2025_MAGI-1 Autoregressive Video Generation at Scale.pdf,MAGI-1 Autoregressive Video Generation at Scale,2025,,Video Generation,"autoregressive, text-to-video",4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,26.97
2025-make-it-count-text-to-image-generation-with-an-accurate-number-of-objects,2025_Make It Count Text-to-Image Generation with an Accurate Number of Objects_CVPR.pdf,Make It Count Text-to-Image Generation with an Accurate Number of Objects,2025,CVPR,Text-to-Image Generation,text-to-image,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,11.72
2025-mergevq-a-unified-framework-for-visual-generation-and-representation-with-disent,2025_MergeVQ A Unified Framework for Visual Generation and Representation with Disentangled Token Merging and Quantization_CVPR.pdf,MergeVQ A Unified Framework for Visual Generation and Representation with Disentangled Token Merging and Quantization,2025,CVPR,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,1.79
2025-mimir-improving-video-diffusion-models-for-precise-text-understanding,2025_Mimir_Improving Video Diffusion Models for Precise Text Understanding_CVPR.pdf,Mimir Improving Video Diffusion Models for Precise Text Understanding,2025,CVPR,Diffusion / Flow Models,"diffusion-flow, prompt-alignment",4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,11.78
2025-multirate-neural-image-compression-with-adaptive-lattice-vector-quantization,2025_Multirate Neural Image Compression with Adaptive Lattice Vector Quantization_CVPR.pdf,Multirate Neural Image Compression with Adaptive Lattice Vector Quantization,2025,CVPR,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,4,top venue: CVPR,unread,,,,,2026-05-10,2026-05-29,18.11
2025-vstar-generative-temporal-nursing-for-longer-dynamic-video-synthesis,2025_VSTAR Generative Temporal Nursing for Longer Dynamic Video Synthesis_ICLR.pdf,VSTAR Generative Temporal Nursing for Longer Dynamic Video Synthesis,2025,ICLR,Other Generative Modeling,,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,47.95
2026-end-to-end-autoregressive-image-generation-with-1d-semantic-tokenizer,2026_End-to-End Autoregressive Image Generation with 1D Semantic Tokenizer_ICML.pdf,End-to-End Autoregressive Image Generation with 1D Semantic Tokenizer,2026,ICML,Visual Tokenization / Vector Quantization,"autoregressive, text-to-image, visual-tokenizer-vq",4,top venue: ICML,unread,,,,,2026-05-18,2026-05-29,5.86
2026-fsvideo-fast-speed-video-diffusion-model-in-a-highly-compressed-latent-space,2026_FSVideo Fast Speed Video Diffusion Model in a Highly-Compressed Latent Space.pdf,FSVideo Fast Speed Video Diffusion Model in a Highly-Compressed Latent Space,2026,,Video Generation,"diffusion-flow, image-to-video",4,recent video-generation work,unread,,,,,2026-05-18,2026-05-29,15.95
2026-insighttok-improving-text-and-face-fidelity-in-discrete-tokenization-for-autoreg,2026_InsightTok Improving Text and Face Fidelity in Discrete Tokenization for Autoregressive Image Generation.pdf,InsightTok Improving Text and Face Fidelity in Discrete Tokenization for Autoregressive Image Generation,2026,,Visual Tokenization / Vector Quantization,"autoregressive, text-to-image, visual-tokenizer-vq",4,recent autoregressive tokenizer work,unread,,,,,2026-05-18,2026-05-29,16.56
2026-layer-wise-instance-binding-for-regional-and-occlusion-control-in-text-to-image,2026_Layer-wise Instance Binding for Regional and Occlusion Control in Text-to-Image Diffusion Transformers_CVPR.pdf,Layer-wise Instance Binding for Regional and Occlusion Control in Text-to-Image Diffusion Transformers,2026,CVPR,Diffusion / Flow Models,"diffusion-flow, text-to-image",4,top venue: CVPR,unread,,,,,2026-05-18,2026-05-29,10.77
2026-minute-long-videos-with-dual-parallelisms,2026_Minute-Long Videos with Dual Parallelisms_AAAI.pdf,Minute-Long Videos with Dual Parallelisms,2026,AAAI,Long Video Generation,long-video,4,recent video-generation work,unread,,,,,2026-05-10,2026-05-29,2.33
