paper_id,filename,title,year,venue,subfield,keywords,importance,importance_reason,read_status,note_status,note_path,selected_on,last_reviewed_on,added_on,updated_on,file_size_mb
2026-prism-long-text-to-image-generation-via-compositional-prompt-decomposition,2026_PRISM_Long-Text-to-Image Generation via Compositional Prompt Decomposition_ICLR.pdf,PRISM Long-Text-to-Image Generation via Compositional Prompt Decomposition,2026,ICLR,Text-to-Image Generation,"prompt-alignment, text-to-image",4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,10.61
2026-the-devil-is-in-the-details-enhancing-video-virtual-try-on-via-keyframe-driven-d,2026_The devil is in the details Enhancing Video Virtual Try-On via Keyframe-Driven Details Injection_CVPR.pdf,The devil is in the details Enhancing Video Virtual Try-On via Keyframe-Driven Details Injection,2026,CVPR,Other Generative Modeling,,4,top venue: ICLR,unread,,,,,2026-05-10,2026-05-29,17.95
2017-attngan-fine-grained-text-to-image-generation-with-attentional-generative-advers,2017_AttnGAN Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks.pdf,AttnGAN Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks,2017,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,9.98
2020-df-gan-a-simple-and-effective-baseline-for-text-to-image-synthesis,2020_DF-GAN A Simple and Effective Baseline for Text-to-Image Synthesis.pdf,DF-GAN A Simple and Effective Baseline for Text-to-Image Synthesis,2020,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,7.85
2021-generating-diverse-structure-for-image-inpainting-with-hierarchical-vq-vae,2021_Generating Diverse Structure for Image Inpainting With Hierarchical VQ-VAE_CVPR.pdf,Generating Diverse Structure for Image Inpainting With Hierarchical VQ-VAE,2021,CVPR,Image Inpainting / Completion,"inpainting-completion, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,2.15
2021-high-resolution-complex-scene-synthesis-with-transformers,2021_High-Resolution Complex Scene Synthesis with Transformers.pdf,High-Resolution Complex Scene Synthesis with Transformers,2021,,Other Generative Modeling,,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,21.96
2022-autoregressive-image-generation-using-residual-quantization,2022_Autoregressive Image Generation using Residual Quantization.pdf,Autoregressive Image Generation using Residual Quantization,2022,,Visual Tokenization / Vector Quantization,"autoregressive, text-to-image, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,72.65
2022-beit-v2-masked-image-modeling-with-vector-quantized-visual-tokenizers,2022_BEiT v2 Masked Image Modeling with Vector-Quantized Visual Tokenizers.pdf,BEiT v2 Masked Image Modeling with Vector-Quantized Visual Tokenizers,2022,,Visual Tokenization / Vector Quantization,"vision-representation, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-15,2026-05-29,9.73
2022-cross-modal-contrastive-learning-for-text-to-image-generation,2022_Cross-Modal Contrastive Learning for Text-to-Image Generation.pdf,Cross-Modal Contrastive Learning for Text-to-Image Generation,2022,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,30.36
2022-hierarchical-residual-learning-based-vector-quantized-variational-autoencoder-fo,2022_Hierarchical Residual Learning Based Vector Quantized Variational Autoencoder for Image Reconstruction and Generation.pdf,Hierarchical Residual Learning Based Vector Quantized Variational Autoencoder for Image Reconstruction and Generation,2022,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,45.14
2022-hierarchical-text-conditional-image-generation-with-clip-latent,2022_Hierarchical Text-Conditional Image Generation with CLIP Latent.pdf,Hierarchical Text-Conditional Image Generation with CLIP Latent,2022,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,40.92
2022-high-quality-pluralistic-image-completion-via-code-shared-vqgan,2022_High-quality pluralistic image completion via code shared vqgan.pdf,High-quality pluralistic image completion via code shared vqgan,2022,,Image Inpainting / Completion,"inpainting-completion, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,42.28
2022-resolution-robust-large-mask-inpainting-with-fourier-convolutions,2022_Resolution-robust large mask inpainting with fourier convolutions_WACV.pdf,Resolution-robust large mask inpainting with fourier convolutions,2022,WACV,Image Inpainting / Completion,inpainting-completion,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,4.34
2022-vqgan-clip-open-domain-image-generation-and-editing-with-natural-language-guidan,2022_VQGAN-CLIP Open Domain Image Generation and Editing with Natural Language Guidance.pdf,VQGAN-CLIP Open Domain Image Generation and Editing with Natural Language Guidance,2022,,Visual Tokenization / Vector Quantization,"text-to-image, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,23.63
2023-disentanglement-via-latent-quantization,2023_Disentanglement via Latent Quantization.pdf,Disentanglement via Latent Quantization,2023,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,23.21
2023-exploration-into-translation-equivariant-image-quantization,2023_Exploration into Translation-Equivariant Image Quantization.pdf,Exploration into Translation-Equivariant Image Quantization,2023,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,0.34
2023-finite-scalar-quantization-vq-vae-made-simple,2023_Finite Scalar Quantization VQ-VAE Made Simple.pdf,Finite Scalar Quantization VQ-VAE Made Simple,2023,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,5.98
2023-gen-l-video-multi-text-to-long-video-generation-via-temporal-co-denoising,2023_Gen-L-Video Multi-Text to Long Video Generation via Temporal Co-Denoising.pdf,Gen-L-Video Multi-Text to Long Video Generation via Temporal Co-Denoising,2023,,Long Video Generation,"diffusion-flow, long-video, text-to-video",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,15.68
2023-improved-vector-quantized-diffusion-models,2023_Improved Vector Quantized Diffusion Models.pdf,Improved Vector Quantized Diffusion Models,2023,,Visual Tokenization / Vector Quantization,"diffusion-flow, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,2.46
2023-nuwa-xl-diffusion-over-diffusion-for-extremely-long-video-generation,2023_NUWA-XL Diffusion over Diffusion for eXtremely Long Video Generation_ACL.pdf,NUWA-XL Diffusion over Diffusion for eXtremely Long Video Generation,2023,ACL,Long Video Generation,"diffusion-flow, long-video, text-to-video",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,0.99
2024-autotimes-autoregressive-time-series-forecasters-via-large-language-models,2024_AutoTimes Autoregressive Time Series Forecasters via Large Language Models.pdf,AutoTimes Autoregressive Time Series Forecasters via Large Language Models,2024,,Autoregressive Visual Generation,"autoregressive, time-series",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,2.49
2024-dinov2-learning-robust-visual-features-without-supervision,2024_Dinov2 Learning Robust Visual Features Without Supervision.pdf,Dinov2 Learning Robust Visual Features Without Supervision,2024,,Vision Representation / Architecture,vision-representation,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,7.68
2024-gaussian-mixture-vector-quantization-with-aggregated-categorical-posterior,2024_GAUSSIAN MIXTURE VECTOR QUANTIZATION WITH AGGREGATED CATEGORICAL POSTERIOR.pdf,GAUSSIAN MIXTURE VECTOR QUANTIZATION WITH AGGREGATED CATEGORICAL POSTERIOR,2024,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,1.05
2024-restructuring-vector-quantization-with-the-rotation-trick,2024_Restructuring Vector Quantization with the Rotation Trick.pdf,Restructuring Vector Quantization with the Rotation Trick,2024,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,5.12
2024-scaling-rectified-flow-transformers-for-high-resolution-image-synthesis,2024_Scaling Rectified Flow Transformers for High-Resolution Image Synthesis.pdf,Scaling Rectified Flow Transformers for High-Resolution Image Synthesis,2024,,Diffusion / Flow Models,"diffusion-flow, text-to-image",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,32.40
2024-vqalattent-a-transparent-speech-generation-pipeline-based-on-transformer-learned,2024_VQalAttent a Transparent Speech Generation Pipeline based on Transformer-learned VQ-VAE Latent Space.pdf,VQalAttent a Transparent Speech Generation Pipeline based on Transformer-learned VQ-VAE Latent Space,2024,,Visual Tokenization / Vector Quantization,"audio-speech, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,3.61
2025-foldtoken-learning-protein-language-via-vector-quantization-and-beyond,2025_FoldToken Learning Protein Language via Vector Quantization and Beyond_AAAI.pdf,FoldToken Learning Protein Language via Vector Quantization and Beyond,2025,AAAI,Visual Tokenization / Vector Quantization,"protein, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,1.28
2025-hierarchical-vector-quantization-for-unsupervised-action-segmentation,2025_Hierarchical Vector Quantization for Unsupervised Action Segmentation_AAAI.pdf,Hierarchical Vector Quantization for Unsupervised Action Segmentation,2025,AAAI,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,1.62
2025-kimi-linear-an-expressive-efficient-attention-architecture,"2025_Kimi Linear An Expressive, Efficient Attention Architecture.pdf","Kimi Linear An Expressive, Efficient Attention Architecture",2025,,Other Generative Modeling,,3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,1.29
2025-vq4dit-efficient-post-training-vector-quantization-for-diffusion-transformers,2025_VQ4DiT Efficient Post-Training Vector Quantization for Diffusion Transformers_AAAI.pdf,VQ4DiT Efficient Post-Training Vector Quantization for Diffusion Transformers,2025,AAAI,Visual Tokenization / Vector Quantization,"diffusion-flow, visual-tokenizer-vq",3,baseline relevance from filename heuristics,unread,,,,,2026-05-10,2026-05-29,0.76
2021-generating-diverse-structure-for-image-inpainting-with-hierarchical-vq-vae-suppl,2021_Generating Diverse Structure for Image Inpainting With Hierarchical VQ-VAE_CVPR_supplemental.pdf,Generating Diverse Structure for Image Inpainting With Hierarchical VQ-VAE (supplement),2021,CVPR,Image Inpainting / Completion,"inpainting-completion, visual-tokenizer-vq",1,supplementary material,unread,,,,,2026-05-10,2026-05-29,10.92
2021-cogview-mastering-text-to-image-generation-via-transformers,2021_CogView Mastering Text-to-Image Generation via Transformers.pdf,CogView Mastering Text-to-Image Generation via Transformers,2021,,Text-to-Image Generation,text-to-image,5,large text-to-image transformer line,read,,,,2026-05-10,2026-05-10,2026-05-29,23.45
2022-maskgit-masked-generative-image-transformer,2022_MaskGIT Masked Generative Image Transformer.pdf,MaskGIT Masked Generative Image Transformer,2022,,Other Generative Modeling,,5,masked visual token generation foundation,read,,,,2026-05-10,2026-05-10,2026-05-29,25.92
2023-cogvideo-large-scale-pretraining-for-text-to-video-generation-via-transformers,2023_CogVideo Large-scale Pretraining for Text-to-Video Generation via Transformers_ICLR.pdf,CogVideo Large-scale Pretraining for Text-to-Video Generation via Transformers,2023,ICLR,Video Generation,text-to-video,5,large text-to-video transformer line; top venue: ICLR,read,,,,2026-05-10,2026-05-10,2026-05-29,29.00
2023-make-a-video-text-to-video-generation-without-text-video-data,2023_Make-A-Video Text-to-Video Generation without Text-Video Data_ICLR.pdf,Make-A-Video Text-to-Video Generation without Text-Video Data,2023,ICLR,Video Generation,text-to-video,5,early large-scale text-to-video model; top venue: ICLR,read,,,,2026-05-10,2026-05-10,2026-05-29,13.79
2023-scalable-diffusion-models-with-transformers,2023_Scalable Diffusion Models with Transformers_ICCV.pdf,Scalable Diffusion Models with Transformers,2023,ICCV,Diffusion / Flow Models,diffusion-flow,5,DiT foundation; top venue: ICCV,read,,,,2026-05-10,2026-05-10,2026-05-29,4.89
2024-freelong-training-free-long-video-generation-with-spectralblend-temporal-attenti,2024_FreeLong Training-Free Long Video Generation with SpectralBlend Temporal Attention_NeurIPS.pdf,FreeLong Training-Free Long Video Generation with SpectralBlend Temporal Attention,2024,NEURIPS,Long Video Generation,"long-video, text-to-video",5,top venue: NEURIPS; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,7.54
2024-vbench-comprehensive-benchmark-suite-for-video-generative-models,2024_VBench Comprehensive Benchmark Suite for Video Generative Models_CVPR.pdf,VBench Comprehensive Benchmark Suite for Video Generative Models,2024,CVPR,Benchmark / Evaluation,"benchmark, text-to-video",5,top venue: CVPR; useful as overview/evaluation/data reference,read,,,,2026-05-10,2026-05-10,2026-05-29,8.42
2024-videotetris-towards-compositional-text-to-video-generation,2024_VideoTetris_Towards Compositional Text-to-Video Generation_NeurIPS.pdf,VideoTetris Towards Compositional Text-to-Video Generation,2024,NEURIPS,Video Generation,text-to-video,5,top venue: NEURIPS; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,8.22
2024-visual-autoregressive-modeling-scalable-image-generation-via-next-scale-predicti,2024_Visual Autoregressive Modeling Scalable Image Generation via Next-Scale Prediction_NeurIPS.pdf,Visual Autoregressive Modeling Scalable Image Generation via Next-Scale Prediction,2024,NEURIPS,Autoregressive Visual Generation,"autoregressive, text-to-image",5,major autoregressive image generation result; top venue: NEURIPS,read,,,,2026-05-10,2026-05-10,2026-05-29,6.07
2025-cogvideox-text-to-video-diffusion-models-with-an-expert-transformer,2025_CogVideoX Text-to-Video Diffusion Models with An Expert Transformer_ICLR.pdf,CogVideoX Text-to-Video Diffusion Models with An Expert Transformer,2025,ICLR,Video Generation,"diffusion-flow, text-to-video",5,large text-to-video transformer line; top venue: ICLR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,14.11
2025-freepca-integrating-consistency-information-across-long-short-frames-in-training,2025_FreePCA Integrating Consistency Information across Long-short Frames in Training-free Long Video Generation via Principal Component Analysis_CVPR.pdf,FreePCA Integrating Consistency Information across Long-short Frames in Training-free Long Video Generation via Principal Component Analysis,2025,CVPR,Long Video Generation,"long-video, text-to-video",5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,7.94
2025-instancecap-improving-text-to-video-generation-via-instance-aware-structured-cap,2025_InstanceCap_Improving Text-to-Video Generation via Instance-aware Structured Caption_CVPR.pdf,InstanceCap Improving Text-to-Video Generation via Instance-aware Structured Caption,2025,CVPR,Video Generation,text-to-video,5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,5.45
2025-mint-mind-the-time-temporally-controlled-multi-event-video-generation,2025_MinT_Mind the Time Temporally-Controlled Multi-Event Video Generation_CVPR.pdf,MinT Mind the Time Temporally-Controlled Multi-Event Video Generation,2025,CVPR,Video Generation,text-to-video,5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,20.39
2025-motionstone-decoupled-motion-intensity-modulation-with-diffusion-transformer-for,2025_MotionStone Decoupled Motion Intensity Modulation with Diffusion Transformer for Image-to-Video Generation_CVPR.pdf,MotionStone Decoupled Motion Intensity Modulation with Diffusion Transformer for Image-to-Video Generation,2025,CVPR,Video Generation,"diffusion-flow, image-to-video, text-to-video",5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,10.57
2025-presto-long-video-diffusion-generation-with-segmented-cross-attention-and-conten,2025_Presto_Long Video Diffusion Generation with Segmented Cross-Attention and Content-Rich Video Data Curation_CVPR.pdf,Presto Long Video Diffusion Generation with Segmented Cross-Attention and Content-Rich Video Data Curation,2025,CVPR,Dataset / Data Curation,"dataset, diffusion-flow, long-video",5,top venue: CVPR; useful as overview/evaluation/data reference,read,,,,2026-05-10,2026-05-10,2026-05-29,18.64
2025-rapo-the-devil-is-in-the-prompts-retrieval-augmented-prompt-optimization-for-tex,2025_RAPO_The Devil is in the Prompts Retrieval-Augmented Prompt Optimization for Text-to-Video Generation_CVPR.pdf,RAPO The Devil is in the Prompts Retrieval-Augmented Prompt Optimization for Text-to-Video Generation,2025,CVPR,Video Generation,"prompt-alignment, text-to-video",5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,10.80
2025-streamingt2v-consistent-dynamic-and-extendable-long-video-generation-from-text,"2025_StreamingT2V_Consistent, Dynamic, and Extendable Long Video Generation from Text_CVPR.pdf","StreamingT2V Consistent, Dynamic, and Extendable Long Video Generation from Text",2025,CVPR,Long Video Generation,"long-video, text-to-video",5,top venue: CVPR; recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,20.26
2025-t2v-compbench-a-comprehensive-benchmark-for-compositional-text-to-video-generati,2025_T2V-CompBench A Comprehensive Benchmark for Compositional Text-to-video Generation_CVPR.pdf,T2V-CompBench A Comprehensive Benchmark for Compositional Text-to-video Generation,2025,CVPR,Benchmark / Evaluation,"benchmark, text-to-video",5,top venue: CVPR; useful as overview/evaluation/data reference,read,generated,notes/2026-05-14_2025-t2v-compbench-a-comprehensive-benchmark-for-compositional-text-to-video-generati.md,,2026-05-15,2026-05-14,2026-05-29,2.44
2022-vector-quantized-diffusion-model-for-text-to-image-synthesis,2022_Vector Quantized Diffusion Model for Text-to-Image Synthesis_CVPR.pdf,Vector Quantized Diffusion Model for Text-to-Image Synthesis,2022,CVPR,Visual Tokenization / Vector Quantization,"diffusion-flow, text-to-image, visual-tokenizer-vq",4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,11.10
2024-rethinking-the-objectives-of-vector-quantized-tokenizers-for-image-synthesis,2024_Rethinking the Objectives of Vector-Quantized Tokenizers for Image Synthesis_CVPR.pdf,Rethinking the Objectives of Vector-Quantized Tokenizers for Image Synthesis,2024,CVPR,Visual Tokenization / Vector Quantization,"text-to-image, visual-tokenizer-vq",4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,6.56
2025-freelong-training-free-long-video-generation-via-multi-band-spectralfusion,2025_FreeLong++ Training-Free Long Video Generation via Multi-band SpectralFusion.pdf,FreeLong++ Training-Free Long Video Generation via Multi-band SpectralFusion,2025,,Long Video Generation,"long-video, text-to-video",4,recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,21.66
2025-from-slow-bidirectional-to-fast-autoregressive-video-diffusion-models,2025_From Slow Bidirectional to Fast Autoregressive Video Diffusion Models_CVPR.pdf,From Slow Bidirectional to Fast Autoregressive Video Diffusion Models,2025,CVPR,Autoregressive Visual Generation,"autoregressive, diffusion-flow",4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,13.98
2025-minority-focused-text-to-image-generation-via-prompt-optimization,2025_Minority-Focused Text-to-Image Generation via Prompt Optimization_CVPR.pdf,Minority-Focused Text-to-Image Generation via Prompt Optimization,2025,CVPR,Text-to-Image Generation,"prompt-alignment, text-to-image",4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,6.07
2025-moca-identity-preserving-text-to-video-generation-via-mixture-of-cross-attention,2025_MoCA_Identity-Preserving Text-to-Video Generation via Mixture of Cross Attention_MMAsia.pdf,MoCA Identity-Preserving Text-to-Video Generation via Mixture of Cross Attention,2025,MMASIA,Video Generation,text-to-video,4,recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,10.17
2025-packing-input-frame-context-in-next-frame-prediction-models-for-video-generation,2025_Packing Input Frame Context in Next-Frame Prediction Models for Video Generation.pdf,Packing Input Frame Context in Next-Frame Prediction Models for Video Generation,2025,,Video Generation,"autoregressive, text-to-video",4,recent video-generation work,read,,,,2026-05-10,2026-05-10,2026-05-29,0.40
2025-reconstruction-vs-generation-taming-optimization-dilemma-in-latent-diffusion-mod,2025_Reconstruction vs Generation Taming Optimization Dilemma in Latent Diffusion Models_CVPR.pdf,Reconstruction vs Generation Taming Optimization Dilemma in Latent Diffusion Models,2025,CVPR,Diffusion / Flow Models,diffusion-flow,4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,1.74
2025-riflex-a-free-lunch-for-length-extrapolation-in-video-diffusion-transformers,2025_RIFLEx A Free Lunch for Length Extrapolation in Video Diffusion Transformers_ICML.pdf,RIFLEx A Free Lunch for Length Extrapolation in Video Diffusion Transformers,2025,ICML,Diffusion / Flow Models,diffusion-flow,4,top venue: ICML,read,,,,2026-05-10,2026-05-10,2026-05-29,10.17
2025-spatial-transport-optimization-by-repositioning-attention-map-for-training-free,2025_Spatial Transport Optimization by Repositioning Attention Map for Training-Free Text-to-Image Synthesis_CVPR.pdf,Spatial Transport Optimization by Repositioning Attention Map for Training-Free Text-to-Image Synthesis,2025,CVPR,Text-to-Image Generation,text-to-image,4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,7.30
2025-tokenflow-unified-image-tokenizer-for-multimodal-understanding-and-generation,2025_Tokenflow Unified image tokenizer for multimodal understanding and generation_CVPR.pdf,Tokenflow Unified image tokenizer for multimodal understanding and generation,2025,CVPR,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,11.61
2025-towards-improved-text-aligned-codebook-learning-multi-hierarchical-codebook-text,2025_Towards Improved Text-Aligned Codebook Learning Multi-Hierarchical Codebook-Text Alignment with Long Text_CVPR.pdf,Towards Improved Text-Aligned Codebook Learning Multi-Hierarchical Codebook-Text Alignment with Long Text,2025,CVPR,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,4,top venue: CVPR,read,,,,2026-05-10,2026-05-10,2026-05-29,1.64
2020-attentive-normalization-for-conditional-image-generation,2020_Attentive Normalization for Conditional Image Generation.pdf,Attentive Normalization for Conditional Image Generation,2020,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,0.86
2022-movq-modulating-quantized-vectors-for-high-fidelity-image-generation,2022_MoVQ Modulating Quantized Vectors for High-Fidelity Image Generation.pdf,MoVQ Modulating Quantized Vectors for High-Fidelity Image Generation,2022,,Text-to-Image Generation,text-to-image,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,2.59
2022-vector-quantized-image-modeling-with-improved-vqgan,2022_Vector-quantized Image Modeling with Improved VQGAN.pdf,Vector-quantized Image Modeling with Improved VQGAN,2022,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,16.99
2023-align-your-latents-high-resolution-video-synthesis-with-latent-diffusion-models,2023_Align your Latents High-Resolution Video Synthesis with Latent Diffusion Models.pdf,Align your Latents High-Resolution Video Synthesis with Latent Diffusion Models,2023,,Diffusion / Flow Models,diffusion-flow,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,8.11
2024-addressing-representation-collapse-in-vector-quantized-models-with-one-linear-la,2024_Addressing Representation Collapse in Vector Quantized Models with One Linear Layer.pdf,Addressing Representation Collapse in Vector Quantized Models with One Linear Layer,2024,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,5.06
2024-scaling-the-codebook-size-of-vqgan-to-100-000-with-a-utilization-rate-of-99,"2024_Scaling the codebook size of vqgan to 100,000 with a utilization rate of 99%.pdf","Scaling the codebook size of vqgan to 100,000 with a utilization rate of 99%",2024,,Visual Tokenization / Vector Quantization,visual-tokenizer-vq,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,2.90
2025-detailmaster-can-your-text-to-image-model-handle-long-prompts,2025_DetailMaster_Can Your Text-to-Image Model Handle Long Prompts.pdf,DetailMaster Can Your Text-to-Image Model Handle Long Prompts,2025,,Text-to-Image Generation,"prompt-alignment, text-to-image",3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,2.08
2025-long-context-autoregressive-video-modeling-with-next-frame-prediction,2025_Long-Context Autoregressive Video Modeling with Next-Frame Prediction.pdf,Long-Context Autoregressive Video Modeling with Next-Frame Prediction,2025,,Autoregressive Visual Generation,autoregressive,3,baseline relevance from filename heuristics,read,,,,2026-05-10,2026-05-10,2026-05-29,8.09
2020-attentive-normalization-for-conditional-image-generation-supplement,2020_Attentive Normalization for Conditional Image Generation_supplementary material.pdf,Attentive Normalization for Conditional Image Generation (supplement),2020,,Text-to-Image Generation,text-to-image,1,supplementary material,read,,,,2026-05-10,2026-05-10,2026-05-29,14.30
